id,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
12463,HOTEL EASTMAN,BREAKFAST,COMMERCIAL,"HOT SPRINGS, AR",CARD; 4.75X7.5;,EASTER,N/A,1900-2822,1900-04-15T00:00:00Z,Hotel Eastman,,,COMPLETE,2,67
12464,REPUBLICAN HOUSE,DINNER,COMMERCIAL,"MILWAUKEE, WI",CARD; ILLUS; COL; 7.0X9.0;,EASTER,"WEDGEWOOD BLUE CARD; WHITE EMBOSSED GREEK KEY BORDER; ""EASTER SUNDAY"" EMBOSSED IN WHITE; VIOLET COLORED SPRAY OF FLOWERS IN UPPER LEFT CORNER;",1900-2825,1900-04-15T00:00:00Z,Republican House,,,UNDER REVIEW,2,34
12465,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK-BREAKFAST,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,CARD; ILLU; COL; 5.5X8.0;,N/A,"MENU IN GERMAN AND ENGLISH; ILLUS, STEAMSHIP AND SAILING VESSEL;",1900-2827,1900-04-16T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,84
12466,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,CARD; ILLU; COL; 5.5X8.0;,N/A,"MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR SCENE WITH SAILING VESSEL;",1900-2828,1900-04-16T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,63
12467,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,FOLDER; ILLU; COL; 5.5X7.5;,N/A,"MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR SCENE WITH ROCKS AND LIGHTHOUSE; STEAMSHIP AND SAILING VESSELS; CONCERT PROGRAM; DATES: ON GERMAN SIDE OF MENU ""MONTAG, DEN 16 APRIL 1900""; ON ENGLISH SIDE OF MENU ""MONDAY, APRIL 15TH, 1900"";",1900-2829,1900-04-16T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,4,33
12468,CANADIAN PACIFIC RAILWAY COMPANY,DINNER,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4.75X7.25;,N/A,"ILLUS, RED AND WHITE CHECKERED FLAG;",1900-2831,1900-04-16T00:00:00Z,Canadian Pacific Railway Company,,,COMPLETE,2,37
12469,HOTEL NETHERLAND,SUPPER,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; COL; 6.0X8.75;,N/A,HOTEL CREST IN BLUE; PRICED MENU;,1900-2838,1900-04-16T00:00:00Z,Hotel Netherland,DOLLARS,$,COMPLETE,2,144
12470,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK-BREAKFAST,COMMERCIAL,SCHNELLDAMPFER KAISER WILHELM DER GROSSE;,BROADSIDE; ILLUS; COL; 5.5X8.50;,N/A,"MENU IN GERMAN AND ENGLISH; ILLUS, LIGHTHOUSE; STEAMSHIP; FISHING DORY;",1900-2839,1900-04-17T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,80
12471,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,BROADSIDE; ILLUS; COL; 5.5X8.50;,N/A,"MENU IN GERMAN AND ENGLISH; ILLUS, SAILING SHIP/SHEETS FURLED; STEAMSHIP;",1900-2840,1900-04-17T00:00:00Z,Norddeutscher Lloyd Bremen,,,UNDER REVIEW,2,67
12472,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,FOLDER; ILLUS; COL; 5.5X7.5;,N/A,"MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR; LIGHTHOUSE; ROCKS; STEAMSHIP; SAILING SHIPS; CONCERT PROGRAM;",1900-2841,1900-04-17T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,4,29
12473,HOTEL MARLBOROUGH,CAFE LUNCHEON,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; COL; 4.25X5.5;,N/A,HOTEL CREST IN BLUE;,1900-2843,1900-04-17T00:00:00Z,Hotel Marlborough,,,COMPLETE,2,19
